id,year,month,day,births
0,1969,1,1,4046
1,1969,1,1,4440
2,1969,1,2,4454
3,1969,1,2,4548
4,1969,1,3,4548
5,1969,1,3,4994
6,1969,1,4,4440
7,1969,1,4,4520
8,1969,1,5,4192
9,1969,1,5,4198
10,1969,1,6,4710
11,1969,1,6,4850
12,1969,1,7,4646
13,1969,1,7,5092
14,1969,1,8,4800
15,1969,1,8,4934
16,1969,1,9,4592
17,1969,1,9,4842
18,1969,1,10,4852
19,1969,1,10,5190
20,1969,1,11,4580
21,1969,1,11,4598
22,1969,1,12,4126
23,1969,1,12,4324
24,1969,1,13,4758
25,1969,1,13,5076
26,1969,1,14,5070
27,1969,1,14,5296
28,1969,1,15,4798
29,1969,1,15,5096
30,1969,1,16,4790
31,1969,1,16,4872
32,1969,1,17,4944
33,1969,1,17,5030
34,1969,1,18,4670
35,1969,1,18,4642
36,1969,1,19,4170
37,1969,1,19,4452
38,1969,1,20,4884
39,1969,1,20,4924
40,1969,1,21,5042
41,1969,1,21,5432
42,1969,1,22,4796
43,1969,1,22,5088
44,1969,1,23,4794
45,1969,1,23,4660
46,1969,1,24,4752
47,1969,1,24,5046
48,1969,1,25,4348
49,1969,1,25,4674
50,1969,1,26,4230
51,1969,1,26,4338
52,1969,1,27,4864
53,1969,1,27,5046
54,1969,1,28,4860
55,1969,1,28,5172
56,1969,1,29,4500
57,1969,1,29,4880
58,1969,1,30,4668
59,1969,1,30,5006
60,1969,1,31,4780
61,1969,1,31,4912
62,1969,1,99,26
63,1969,1,99,38
64,1969,2,1,4394
65,1969,2,1,4736
66,1969,2,2,4334
67,1969,2,2,4480
68,1969,2,3,4878
69,1969,2,3,5110
70,1969,2,4,4796
71,1969,2,4,5200
72,1969,2,5,4674
73,1969,2,5,5002
74,1969,2,6,4760
75,1969,2,6,4968
76,1969,2,7,4940
77,1969,2,7,5162
78,1969,2,8,4626
79,1969,2,8,4636
80,1969,2,9,4252
81,1969,2,9,4442
82,1969,2,10,4958
83,1969,2,10,4996
84,1969,2,11,4796
85,1969,2,11,5060
86,1969,2,12,4780
